ChangedType,Dynamic?,AddedTag,addedXpath,typeChanged,oldType,oldTag,oldXpath,newType,newTag,newXpath,removedTag,removedXpath,DOM,CV,Result,Vista,GroundTruth
[PROP_CHANGED],,,,class,<qrcode-app>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[7]/div[1],<>,div,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[1],,,TP,,,,
[NODE_REMOVED],,,,,,,,,,,a,/html/body/div[3]/div[1]/div[1]/a[1],FP,TP,TP,TP,?? U
[NODE_ADDED],,iframe,/html/body/div[5]/div[2]/div[1]/div[2]/div[8]/div[1]/iframe[1],,,,,,,,,,TP,FN,TP,NA,invisible iframe A
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* Changed elements not detected by WebEvo,,,,,,,,,,,,,,,,,
ADD,,DELETE,,,,,,,,,,,,,,,
2018?????,,??,,,,,,,,,,,,,,,
???,,??,,,,,,,,,,,,,,,
??,,,,,,,,,,,,,,,,,
??,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"* A/U/D in GroundTruth column indicates element is added/updated/deleted. Note w/o A/U/D means the element has already been counted, don't double count.",,,,,,,,,,,,,,,,,
